name, description, price
ARRAK,plant pot,526.27
ÅRSTID,series,726.95
ARV,plate,673.43
ARV,series,887.63
ARVINN,folding chair,32.62
ÅRYD,series,478.94
ÅRYD,tealight holder,32.03
ÅSELE,shade,470.28
ÅSELE,table lamp,904.88
ASKER,series,285.89
ASPEKT,knife sharpener,197.57
ASPELUND,series,900.82
ASPVIK,series,226.28
ÅSUNDEN,basket with lid,322.35
ÅSUNDEN,basket with lid,732.9
ÅSUNDEN,basket,760.79
ATLANT,waste strainer,170.29
ÄTRAN,lockable cabinet,500.28
ÄTRAN,wall cabinet,345.35
ATTEST,handle,70.59
ATTEST,knob,36.43
ATTITYD,drawer unit,534.88
ATTITYD,wall cabinet,853.37
BÅDALEN,wall-mounted headboard,529.59
BAGIS,children's coat-hanger,775.7
BALSER,chair,389.2
BÄRBAR,tray,714.42
BAREN,glass shelf,489.46
BAREN,hanger,186.49
BAREN,toilet brush,738.13
BAREN,toilet roll holder,837.58
BAREN,towel holder,297.76
BAREN,towel rail,371.85
BARNSLIG RINGDANS,box with lid,459.68
BARNSLIG,mirror,749.24
BARNSLIG,place mat,0.71
BARNSLIG,series,10.42
BARNSLIG,textiles,152.99
BAROMETER,series,246.27
BASISK,series,615.85
BASISK,wall/clamp spotlight,42.21
BÄSTIS,lint roller refill,619.74
BEATA BLAD,duvet cover and pillowcase(s),99.32
BEATA ORKIDE,duvet cover and pillowcase(s),458.26
BEATA,collection,728.39
BEDDINGE,cushion cover,694.58
BEDDINGE,series,198.16
BEHANDLA,beeswax polish,909.48
BEHANDLA,series,353.43
BEHÖVD,vacuum flask,189.23
BEKVÄM,kitchen cart,778.36
BEKVÄM,spice rack,428.26
BEKVÄM,step stool,287.92
BENNO,series,227.38
BERIT,fabric,338.5
BERLEVÅG,mirror,970.02
BERLEVÅG,table mirror,242.31
BERNHARD,chair,557.71
BERTA RAND,fabric,188.57
BERTA RUTA,fabric,768.67
BERTIL,chair,285.99
BERYLL,quad spotlight,199.04
BERYLL,wall spotlight,922.4
BESKÅDA,curtain rod set,543.13
BESKÅDA,double wall hardware,974.5
BESTÅ ÅDAL TV,unit,308.08
BESTÅ BOÅS TV,storage unit,523.38
BESTÅ BURS TV,unit,684.52
BESTÅ BURS TV,storage combination,50.45
BESTÅ BURS,desk,740.73
BESTÅ BURS,wall shelf,875.76
BESTÅ JÄGRA TV,unit with casters,858.33
BESTÅ TV,storage combo with sliding doors,602.42
BESTÅ TV,unit,845.02
BESTÅ TV,storage combination,406.99
BESTÅ,shelf unit,975.62
BESTÅ,shelf unit/height extension unit,324.53
BESTÅ,storage combination,764.9
BESTÅ/FRAMSTÅ/INREDA,storage system,230.63
BEVARA,sealing clip,386.22
BIBBI SNURR,duvet cover and pillowcase(s),670.67
BIGARRÅ,series,847.1
BILAR,cars,437.53
BILD,poster,424.03
BILLSTA,series,225.81
BILLY,bookcase,315.45
BILLY,system,631.59
BIRGIT LANTLIG,duvet cover and pillowcase(s),273.31
BIRGIT SPETS,duvet cover and pillowcase(s),12.87
BIRGIT,collection,188.96
BIRGIT,duvet cover and pillowcase(s),774.4
BIRKELAND,series,370.12
BISSA,shoe cabinet with 2 compartments,434.28
BITIG,clock with noticeboard,376.31
BJÄRNUM,folding hook,525.16
BJÄRNUM,hat/shoe rack,710.65
BJÄRNUM,hook,434.11
BJOA,mirror,373.81
BJÖRKEFALL,block candle holder,488.46
BJÖRKEFALL,candlestick,171.81
BJÖRKEN,mirror cabinet,522.59
BJÖRKEN,wall cabinet,672.92
BJÖRKUDDEN,bar table,880.14
BJÖRKUDDEN,dining table,922.64
BJÖRKUDDEN/BERTIL,table and 4 chairs,546.65
BJURÖN,plant glide,26.18
BJURÖN,plant pot,384.38
BJURÖN,plant stand,643.65
BJURSTA,bar table,450.38
BJURSTA,bench,612.7
BJURSTA,series,995.96
BLADET,series,623.17
BLADET,vase,149.68
BLADHULT,series,197.67
BLADIS,series,902.28
BLÅMES,highchair with tray,247.71
BLANDA BLANK,bowl,637
BLANDA,series,352.74
BLANDA,serving bowl,179.1
BLANKEN,series,629.63
BLÅSIPPA,duvet cover and pillowcase(s),244.53
BLASKA,broom,590.3
BLASKA,dust pan and brush,667.07
BLASKA,laundry basket,794.25
BLASKA,window squeegee,661.56
BLECKA,hook,713.34
BLIXT,recessed spotlight,473.6
BLOMMIG,vase,953.62
BLOMSTER,candlestick,1.51
BLOMSTER,series,22.17
BLOMSTER,vase,325.51
BLOSSANDE,coffee accessories,779.29
BLOSSANDE,tea accessories,441.91
BOALT CD,rack for 35 CDs,488.34
BOALT DVD,rack for 29 DVDs,170.04
BOASJÖ,5-piece bathroom set,496.61
BOHOLMEN,1 1/2 bowl inset sink with drainer,291.47
BOHOLMEN,1 bowl inset sink with drainer,279.5
BOHOLMEN,2 bowl inset sink with drainer,103.75
BOHOLMEN,chopping board,523.3
BOHOLMEN,colander,683.34
BOHOLMEN,cover plate,33.13
BOHOLMEN,dish drainer,486.43
BOHOLMEN,double-bowl inset sink,142
BOHOLMEN,inset sink 1 1/2 bowl,84.91
BOHOLMEN,rinsing tub,246.69
BOHOLMEN,single-bowl inset sink,622.02
BÖJA,series,132.8
BOJNE,chair with armrests,949.83
BOLIDEN,chair and footstool,945.87
BOLMEN,series,887.72
BÖLSNÄS,basket,33.94
BOMULL,fabric,498.32
BOMULL,pair of curtains with tie-backs,316.57
BOMULL,rug,648.03
BONDIS,wall clock,514.69
BONETT,bevel-edged mirror,556.93
BONSAI CARMONA,potted plant,177.12
BOREN,wall edging strip,600.56
BÖRJE,chair,817.71
BORRBY,lantern for block candle,6.02
BORRIS,door mat,88.38
BOSSE,bar stool,297.63
BOSSE,stool,369.95
BOTNE,wardrobe,431.78
BRÄDA,series,339.6
BRALLIS,clothes-hanger,986.17
BRANÄS,basket,479.43
BRAVERA,frying pan,39.22
BRAVUR,wall clock,575.84
BREDGRUND,shower curtain,454.76
BREDSKÄR,single-bowl inset sink,677.01
BRIMNES,series,940.19
BRIMNES,wall cabinet with sliding door,804.33
BRITTEN DÖRR,fabric,809.56
BRITTEN HUS,fabric,886.35
BRITTEN NUMMER,fabric,13.82
BRITTEN STUGA,fabric,202.91
BRODER,system,979.22
BRUNKRISSLA,duvet cover and pillowcase(s),377.39
BRYGGKAFFE MELLANROST,ground coffee,541.02
BRYGGKAFFE MÖRKROST,ground coffee,943.52
BRYNE,net,853.22
BSORB,bycast leather cleaner,527.39
BULLAR,baking pan,743.39
BULLAR,loaf pan,914.81
BULLAREN,5-piece bathroom furniture set,431.69
BUMERANG,curved clothes hanger,338.28
BUMERANG,series,966.79
BURKEN,jar with lid,194.88
BURSJÖN,stool with storage,861.32
BYGEL,container,646.32
BYGEL,dish drainer,489.58
BYGEL,magnetic knife rack,188.25
BYGEL,rail,763.97
BYGEL,s-hook,216.98
BYGEL,series,185.8
BYGEL,wire basket,728
BYGGA,construction set,688.85
BYHOLMA,chair,114.03
BYHOLMA,series,674.24
CALYPSO,ceiling lamp,899.52
CAPITA,bracket,207.19
CECILIA,fabric,42.06
CELEBER,jar with lid,617.54
CELEBER,series,67.02
CENTRERA LYKTA,lantern,984.02
CHARLOTTA BLOCK,fabric,447.86
CHARLOTTA HIMMEL,fabric,575.7
CHARLOTTA MÄRKE,fabric,452.71
CHARLOTTA TECKNING,fabric,646.91
CHARLOTTA VILD,fabric,498.25
CHARM,egg slicer,315.55
CHARMIG,20-piece cutlery set,633.06
CHARMÖR,bowl,294.89
CHARMÖR,series,329.72
CHOSIGT,funnel,841.11
CHOSIGT,grater with container,349.59
CHRISTEL,cushion,132.85
CHRYSALIDOCARPUS LUTESCENS,potted plant,950.56
CILLA,chair pad,956.59
CLIPS,frame with clips,45.12
CYLINDER,series,662.47
DAGLILJA,bedspread/blanket,726.71
DAIM MINI,milk chocolate with caramel,669.91
DALFRED,bar stool,835.94
DÄMPA,curtain rod set,273.68
DÄNKA,ironing board,18.3
DATA,series,268.68
DÅTID,series,944.89
DAVE,laptop table,873.34
DAVE,laptop workstation,822.8
DEGERNES,underbed storage box,80.75
DEKA,curtain wire incl. clips,185.61
DEKAD,alarm clock,725.21
DEKAD,wall clock,647.89
DELIKAT,series,512.64
DESSERT,measuring cups,526.83
DESSERT,measuring spoons,735.17
DETOLF,glass-door cabinet,794.12
DIGNITET,corner piece,659.66
DIGNITET,curtain ring with clip,685.45
DIGNITET,curtain wire,64.11
DILLING,underbed storage box,941.29
DIMMA,cord dimmer,820.48
DIMPA,series,46.69
DINERA DEKAL,10 piece dinnerware set,685.52
DINERA DEKAL,bowl,65.14
DINERA,series,956.41
DIOD,glass,42.48
DIODER,lighting strip,623.71
DIODER,multipurpose lighting,157.61
DIREKT,3-piece kitchen utensil set,314.1
DISKA,dishwashing brush,611.77
DISKRET,plant pot,982.3
DISTANS,series,422.61
DITO,20-piece cutlery set,204.96
DITTE,fabric,9.32
DIVISION,suspension set for panel curtain,136.84
DJÄRV,plant pot,9.15
DOCKSTA,dining table,134.34
DOFTA,potpourri,972.44
DOFTA,potpourri in a box,277.84
DOKUMENT,pencil cup,79.38
DOKUMENT,series,165.49
DOLD,single portion sugar shaker,429.8
DOMSJÖ,chopping board,310.53
DOMSJÖ,rinsing basket,559.35
DRACAENA MARGINATA,potted plant,212.65
DRACAENA MASSANGEANA,potted plant,122.23
DRACAENA,plant,794.64
DRAGAN,3-piece bathroom set,667.29
DRAGAN,jar with lid set of 3,797.48
DRAGAN,soap dish,708.99
DRAGON,series,409.74
DRAGÖR,rug,16
DRÄLLA,bendable chopping board,234.91
DRÖMMAR,cookie sheet,449.06
DRÖMMAR,series,593.32
DRÖNA,box,711.41
DROPPAR,series,445.27
DROPS,collage frame for 7 photos,537.67
DUDERÖ,floor lamp,894.33
DUKTIG,8-piece table/kitchen textile set,130.99
DUKTIG,glass,923.25
DUKTIG,series,555.61
DUKTIG,tool box,157.73
DVALA,duvet cover and pillowcase(s),315.86
DVALA,fitted sheet,637.61
DVALA,flat sheet,361.7
DVALA,pillowcase for ergonomic pillow,310.65
EDGAR,folding chair,561.11
EDIT,cushion cover,238.49
EDLAND,nightstand,501.62
EDLAND,series,365.03
EDSVIK,dual control kitchen faucet,359.55
EFFEKTIV,system,279.09
EGEBY,rug,97.73
EGIL,stool,434.92
EIDE,bed frame,385.7
EKARP,floor lamp base,663.03
EKARP,table lamp base,734.93
EKÅS,shade,790.6
EKBY BJÄRNUM,bracket,607.97
EKBY HÅLL,bracket,926.51
EKBY HENSVIK,bracket,603.47
EKBY JÄRPEN,shelf,860.44
EKBY MOSSBY,shelf,633.4
EKBY ÖSTEN,shelf,299.89
EKBY ROBERT,bracket,403.13
EKBY STÅTLIG,shelf,918.95
EKBY STILIG,bracket,492.47
EKBY TONY,shelf,230.68
EKBY TRYGGVE,shelf,386.95
EKBY VALTER,bracket,681.39
EKBY VIKTOR,shelf,4.5
EKBY,shelf bar,66.07
EKORRE,series,970.07
EKTORP,cover free-standing chaise lounge,243.04
EKTORP,loveseat,568.43
EKTORP,lumbar cushion,345.96
EKTORP,neckroll,79.55
EKTORP,series,167.99
EKTORP,sofa,466.51
ELDIG HOB,450 B gas cooktop,849.52
ELDIG,gas cooktop,473.07
ELDIG,glass ceramic cooktop,945.84
ELGÅ,system,887.28
ELIAS,chair with armrests,27.48
ELISABET,fabric,403.47
ELLAKAJSA,dish towel,923.94
ELLY,dish towel,565.74
ELVERDAM,single lever kitchen faucet,306.47
EMSEN,double bowl corner sink,499.74
EMU,box with lid,337.42
ENERGISK,18 S refrigerator/freezer,954.16
ENERGISK,18 W refrigerator/freezer,9.44
ENGAN,series,138.6
ENJE,roller blind,34.99
ENSEMBLE,salt and pepper shakers,513.74
ENSEN,bath faucet with strainer,542.98
ENVIS,series,972.29
EPISTEL,series,275.64
ERBIUM,ceiling lamp,47.08
ERIK,drawer unit w 2 drawers on casters,691.25
ERIK,drawer unit w 3 drawers on casters,149.27
ERIK,file cabinet,191.65
ERIKSLUND,series,813.89
ERLAND,chair,949.93
ERLING,clothes-hanger,947.34
ERSERUD,shade,909.31
ERSLEV,rug,350.93
ESPRESSOKAFFE,spresso,152.52
ETTY,apron,239.37
ETTY,dish towel,514.54
EVABRITT,panel curtain,554.72
EVERT,stool,144.67
EXARBY,mattress,124.11
EXKLUSIVT,butcher block,822.24
EXPEDIT,series,72.53
EXPEDIT,shelf insert,64.92
EXPEDIT,single drawer insert,953.18
FABIAN,wall shelf,995.05
FABLER,3-piece cutlery set,609.81
FABLER,3-piece dinnerware set,953.53
FABLER KALAS,decorative stickers,0.19
FABLER KAMRATER,textiles,2.78
FABLER RESA,decorative stickers,40.81
FABLER,eries,599.19
FABLER,box with lid,797.6
FABLER,feeding and baby spoon,710.75
FABLER,mirror,435.58
FABLER,place mat,395.4
FABLER,storage bag,805.45
FABLER,textiles,826.01
FABRINA,bedspread,127.88
FADO,pendant downlight,877.59
FADO,pendant lamp,885.2
FADO,table lamp,996.94
FAMNIG HJÄRTA,cushion,637.56
FANSTA,shade,360.96
FANTAST,meat thermometer/timer,299.79
FANTASTISK,napkin holder for 50 napkins,401.66
FANTASTISK,paper napkin,897.36
FÄRGGLAD,children's chair,175.48
FÄRGRIK TROLSK,bowl,576.48
FÄRGRIK TROLSK,series,464.16
FÄRGRIK,bowl,815.02
FÄRGRIK,mug,966.52
FÄRGRIK,plate,190.92
FÄRGRIK,series,803.18
FÄRGRIK,side plate,792.68
FÄRM,vase,638.51
FARTYG,triple ceiling spotlight,374.91
FARTYG,wall spotlight,504.61
FARUM,rug,408.93
FASTBO,wall panel,4.11
FATTBAR,3-piece knife set,60.34
FAVORIT,saucepan with lid,885.94
FAVORIT,series,7.8
FEJKA,artificial plant in pot,114.52
FELICIA,series,681.43
FENOMEN,block candle,5.09
FENOMEN,block candle,74.73
FENOMEN,floating candle,97.22
FIBBE,bin with lid,427.43
FICUS MICROCARPA GINSENG,plant with pot,275.73
FIGGJO,mirror,48.4
FILLSTA,floor lamp,710.63
FILLSTA,pendant lamp,433.81
FILLSTA,table lamp,369.41
FINLIR FLADDRA,frame for 5-10 pictures,423.85
FINLIR,series,223.17
FINNGRUND,shower curtain,276.69
FISKEVIK,picture holders,62.49
FIXA,17-piece tool kit,917.5
FIXA,2-piece tool set,471.18
FIXA,8-piece tool kit,918.09
FIXA,clips/binder/touch+close fastening,479.84
FIXA,countertop cover strip,45.24
FIXA,diffusion barrier,664.23
FIXA,drill template,752.55
FIXA,floor laying kit,49.3
FIXA,floor protectors with rivet,723.84
FIXA,paint brush set,627.77
FIXA,picture hook,217.22
FIXA,screw with plug,189.33
FIXA,stick-on floor protectors set of 20,779.83
FJÄDRAR,inner cushion,449.84
FJÄLLSTA,series,604.77
FJELLSE,bed frame,879.53
FLÄCKIG,colander,913.69
FLÄCKIG,measuring cup,415.24
FLÄCKIG,mixing bowl,96.75
FLAKSA,ceramic sharpener,420.53
FLÄNG,hanger with 4 knobs,174.42
FLANÖR,plant pot,560.92
FLÅREN,series,235.7
FLÅREN,sink cabinet,460.66
FLÄTA,laundry basket,763.63
FLÄTA,magazine file,211.99
FLÄTA,magazine rack,112.54
FLÄTA,storage rack for writing materials,652.36
FLÄTA,wastepaper basket,578.27
FLATEN,storage tin with lid,490.44
FLIT,book-end,200.88
FLOKATI,rug,949.41
FLORERA MYS,scented candle with 3 wicks,939.7
FLORERA,series,797.13
FLORÖ,bed frame,703.85
FLÖRT,cd case,334.27
FLÖRT,unknown,907.91
FLUKTA,clock,330.38
FLYGEL,work lamp,850.8
FLYN LILL,panel curtain,491.86
FLYT,magazine file,221.73
FLYTTA,kitchen cart,255.54
FNISS,wastepaper basket,751.96
FOLKVIK TV,bench with storage,40.64
FÖRHÖJA,cutlery tray,596.69
FÖRHÖJA,series,760.89
FÖRHÖJA,wall cabinet,171.76
FORMAT,cabinet lighting,521.86
FORMAT,floor/reading lamp,662.2
FORMAT,work lamp,722.74
FÖRNUFT,20-piece cutlery set,611.62
FORSÅ,work lamp,980.1
FÖRSIKTIG,children's stool,390.31
FÖRSTÅ,coffee/tea maker,730.72
FORSYTIA,bedspread,728.79
FÖRTRÄFFLIG,scented candle in glass,700.45
FÖRVAR,jar with lid,284.35
FOTO,pendant lamp,174.96
FRÄCK,mirror,568.84
FRÄJEN,bath sheet,351.98
FRAKTA,cart,167.94
FRAKTA,hand cart with storage bag,465.77
FRAKTA,loading strap with buckle,838.66
FRAKTA,luggage straps,313.61
FRAKTA,shopping bag,604.57
FRAKTA,shopping bag,876.59
FRAKTA,storage bag for cart,870.52
FRAKTA,tarpaulin,781.4
FRAKTA,tarpaulin rope,472.89
FRAMSTÅ,wall bracket for flat screen TV,943.2
FRAMTID,microwave oven with extractor fan,848.52
FRAMTID,series,458.38
FRANKLIN,bar stool with backrest,730.16
FREDEN,series,720.56
FREDEN/HÖLLVIKEN,sink cabinet,579.61
FREDLIG,paper napkin,510.11
FREDRIK,series,489.68
FREDRIKA,fabric,189.72
FRIDFULL,plant pot,785.56
FROST,drying rack,533.97
FRYKEN,box with lid,840.01
FUGA,ceiling spotlight,333.44
FUGA,ceiling/wall lamp,895.73
FULLEN,high cabinet,151.54
FULLEN,mirror cabinet,224.98
FULLEN,mirror with shelf,303.26
FULLEN,sink base cabinet with 2 doors,452.61
FULLEN,sink cabinet,645.44
FYLLEN,laundry basket,476.66
GALANT,conference table,998.55
GALANT,system,661.2
GALEJ,candle dish,708.06
GALEJ,tealight holder,396.08
GÅNGBAR,curtain rod set,815.44
GARDENIA JASMINOIDES,potted plant,972.69
GÅSER,rug,281.51
GÅSGRUND,series,133.26
GÄSPA,fitted sheet,956.58
GÄSPA,flat sheet,44.97
GÄSPA,pillowcase,660.27
GATTEN,rug,694.4
GEDSER,rug,195.52
GEMAK,colander,870.72
GILBERT,chair,784.33
GILBERT,stool,515.91
GILDA,collection,574.84
GISLEV,rug,440.08
GLANA,collage frame for 4 photos,461.47
GLANA,frame,775.52
GLÄNSA,lighting chain w/144 bulbs,386.56
GLÄNSA,pendant lamp,675.66
GLASÖRT KULLE,duvet cover and pillowcase(s),920.37
GLASÖRT STRECK,duvet cover and pillowcase(s),513.32
GLASÖRT TRÄD,duvet cover and pillowcase(s),536.81
GLÄTTIG,place mat,881.7
GLENN,bar stool,945.55
GLIMMA,candle holder,883.03
GLIMMA,candle in a metal cup,965.08
GLIMMA,tealight holder,169.77
GLIMMA,tealights,492.64
GLIRA,handle,233.18
GLIRA,knob,423.66
GLIS,box with lid,220.38
GLITTER,handle,235.72
GLOBAL,work lamp,460.95
GLÖDA,bulb E12 sign,767.89
GLÖDA,bulb E17 reflector R14,274.53
GNARP,5-piece kitchen utensil set,30.78
GODIS MIX,glass,451.92
GODIS,glass,635.31
GODMORGON,box with compartments,327.93
GODMORGON,box with lid,814.82
GODMORGON,mirror,963.58
GODMORGON,series,147.75
GODMORGON,storage unit,169.33
GODMORGON,storage with compartments,486.18
GODMORGON,vanity light,138.33
GOLIAT,computer desk,31.02
GOLIAT,drawer unit on casters,455.45
GÖMMAREN,universal shower curtain rod,687.14
GORM,1 shelf section/bottle racks,88.92
GORM,2 shelf sections,305.56
GORM,shelving unit,486.38
GORM,system,141.27
GOSA ASTER,pillow,74.19
GOSA HASSEL,pillow,89.29
GOSA KÄRNA,pillow core,310.99
GOSA KÄRNA,pillow core,566.1
GOSA KLÄTT,pillow,311.75
GOSA KRISSLA,pillow,577.26
GOSA LILJA,pillow,475.61
GOSA PINJE,pillow,983.14
GOSA PINJE,pillow,434.94
GOSA PINJE,pillow,386
GOSA RAPS,pillow,667.44
GOSA RAPS,pillow,799.68
GOSA RAPS,pillow,741.29
GOSA SLÅN,pillow,883.98
GOSA SYREN,pillow,979.02
GOSA SYREN,pillow,374.45
GOSA SYREN,pillow,497.85
GOSA TULPAN,pillow,309.67
GOSA VÄDD,pillow,546.72
GOSA VÄDD,pillow,27.21
GOSA VÄDD,pillow,399.51
GOSA VIDE,outer pillow pocket w filling,865.8
GOSA VIDE/KÄRNA,pillow,712.1
GOSA VIDE/KÄRNA,pillow,455.4
GOSIG,eries,686.4
GRANÅS,series,78.06
GRANAT,cushion,146.11
GRAPEFRUKT,plant pot,145.25
GRATINERA,oven/serving dish,132.63
GRAVYR,handle,947.33
GRAVYR,knob,909.16
GREGOR,swivel chair,348.73
GREJ,handle,120.22
GREVBÄCK,series,765.12
GRILLA,grill pan,233.86
GRILLER,grater,433.64
GRIMEN,bed frame,366.91
GRIP,handle,387.15
GROGGY,coaster,684.32
GROGGY,corkscrew,47.52
GROGGY,tray,697.71
GROLAND,kitchen island,244.12
GRÖNÖ,table lamp,584.29
GRÖNÖ,table lamp,578.83
GRUNDTAL,ighting series,498.66
GRUNDTAL,bathroom series,321.57
GRUNDTAL,drying rack,721.44
GRUNDTAL,glass shelf,592.53
GRUNDTAL,kitchen series,699.81
GRUNDTAL,laundry bin with casters,274.95
GRUNDTAL,mirror,36.95
GRUNDTAL,rail,542.51
GRUNDTAL,s-hook,965.39
GRUNDTAL,wall shelf,174.33
GRUNDTAL/BREDVIKEN,sink with leg frame,559.59
GRUNDTAL/NORRVIKEN,sink with leg frame,216.17
GRUNKA,4-piece kitchen utensil set,173.91
GUBBSKÄR,bathmat,553.43
GULLIVER,bed frame with slatted bed base,125.73
GULLIVER,changing table,846.02
GULLIVER,crib,421.68
GULLUNGE,changing pad,191.31
GULLUNGE,cover,808.9
GUNILLA,fabric,876.66
GUNVOR,fabric,871.55
GURKÖRT,vase,796.52
GUSTAV,desk with shelf unit,694.89
GUSTAV,laptop table,202.71
GYLLEN,panel,976.28
GYLLEN,wall lamp,334.22
GYMNOCALYCIUM,potted plant,907.18
GYNNSAM,chef's knife,319.66
GYNNSAM,series,693.4
HÅBOL,box with lid,180.84
HAGALUND,sofa bed,655.18
HAGALUND,sofabed slipcover,619.67
HAKE,knife block with 4 knives,98.3
HÅLLARE,tealight holder for 7 tealights,443.28
HALLARYD,series,508.45
HÅLLÖ,series,465.31
HALOGEN,bulb E12,831.91
HALOGEN,bulb E26,214.51
HALOGEN,bulb G9,149.54
HALOGEN,bulb GU10 35°,195.61
HALOGEN,bulb GU4 MR11,872.04
HÄLSA,steel vacuum flask,803.72
HALSTED,door mat,800.61
HALSTED,rug,754.95
HAMPEN,rug,84.54
HÄNGA,children's coat-hanger,241.25
HANNES,desk,542.15
HANNES,hutch,960.11
HÄREN,bath sheet,96.8
HAROLA,chair,421.26
HARRY,chair,185.14
HÄSTÖ,headrest,718.31
HÄSTVEDA,armchair,546.58
HATTEN,side table,25.15
HÅVA,curtain rod set,369.26
HÅVA/ANITA,window solution,421.65
HAVBRO,rug,190.87
HAVTORN FÄRM,decorative vase,802.44
HAVTORN,decoration,781.81
HEAT,trivet,478.91
HEAT,trivet,31.59
HEDDA,collection,463.81
HEDERLIG,series,809.88
HEDRA,knob,891.05
HEIMDAL,bed frame,82.83
HEIMDAL,nightstand,216.15
HEJKA,chair cushion,173.62
HEJKA,rocking chair,549.17
HELMER,drawer unit on casters,63.18
HEMLIS,clothes-hanger,927.63
HEMMA,cord set,619.92
HEMMA,floor lamp base,101.97
HEMMA,table lamp base,497.17
HEMMET,rug,299.69
HEMNES,6-drawer chest,400.19
HEMNES,8-drawer dresser,875.78
HEMNES TV,unit,858.63
HEMNES,bedroom series,606.82
HEMNES,chest,909.63
HEMNES,children's room series,355.63
HEMNES,coffee table,221.53
HEMNES,living room series,252.61
HEMNES,mirror chest,708.94
HEMNES,nightstand,409
HEMNES,shoe cabinet with 4 comparment,5.13
HEMNES,side table,75.32
HEMNES,sofa table,105.88
HEMSJÖ,block candle,554.58
HENNY,collection,142.61
HENRIKSDAL,bar stool with backrest,93.87
HENRIKSDAL,chair,378.24
HENSVIK,children's room series,553.5
HERMAN,chair,126.75
HERRÄNG,block candle holder,861
HESSUM,door mat,641.62
HESSUM,rug,420.58
HIMMEL,bed canopy,175.16
HIPPEASTRUM,potted plant,571.78
HJUVIK,single lever kitchen faucet,395.15
HOJTA,place mat,801.78
HOL,side table,772.12
HOL,storage cube,336.64
HÖLLVIKEN,sink,942.71
HÖNEFOSS,mirror,841.33
HOPA,clothes-hanger,352.82
HOPEN,series,180.27
HOPEN,system,646.81
HOVÅS,chair cover,496.78
HOVÅS,footstool cover,293.96
HOVÅS,series,316.06
HOVÅS,sofa cover,640.54
HOVEN,rug,404.72
HOVET,mirror,942.29
HOVSKÄR,single lever kitchen faucet,835.16
HUGO,armchair,262.23
